app_ref_no,app_title,onet_all_codes
ST0039,Aviation operations manager,['53-2022.00']
ST0337,Passenger transport operations manager,['11-3071.01']
ST0503,Network operations,"['15-2031.00', '11-3071.01']"
ST0698,Transport planner (degree),['19-3099.01']
ST0336,Transport planning technician,['19-3099.01']
ST0340,Travel consultant,['41-3041.00']
ST0223,Arborist,['37-3013.00']
ST0656,Advanced upholsterer,['51-6093.00']
ST0536,Chartered town planner (degree),"['19-3051.00', '19-4061.01']"
ST0343,Veterinary nurse,['31-9096.00']
ST0453,Water treatment technician,['51-8031.00']
ST0160,Water process technician,['51-8031.00']
ST0349,General welder (arc processes),['51-4121.06']
ST0852,Plate welder,['51-4121.06']
ST0851,Pipe welder,"['51-4121.06', '47-2152.01']"
ST0313,Commercial procurement and supply (formerly Public sector commercial professional),"['13-1023.00', '43-3061.00']"
ST0668,Assistant buyer / Assistant merchandiser (degree),['13-1022.00']
ST0683,Buying and merchandising assistant,['13-1022.00']
ST0655,Advanced furniture CNC technician,"['51-7042.00', '51-7011.00', '51-7041.00']"
ST0531,Wood product manufacturing operative,"['51-7042.00', '51-7041.00']"
